OpenDP Privacy Attacks & Auditing Working Group,,,,,,,,,,,
Privacy Attacks Respository,,,,,,,,,,,
,,,,,,,,,,,
URL,BibTex (Please add a bibtex entry for this paper to facilitate writing our summary document),Authors,Title,Short Description,Type of Data,Type of Release,Threat Model,Research Type,Links to Artifacts,Comments,"Submitter (your name, affiliation)"
https://dl.acm.org/doi/10.1145/773153.773173,"@inproceedings{10.1145/773153.773173,
author = {Dinur, Irit and Nissim, Kobbi},
title = {Revealing information while preserving privacy},
year = {2003},
}",Irit Dinur and Kobbi Nissim,Revealing Information While Preserving Privacy,Seminal paper on the theory of data reconstruction attacks.,Tabular,Linear-Queries,Reconstruction,Theoretical,,,"Jon Ullman, Northeastern University"
https://arxiv.org/abs/1810.05692,"@article{cohen2018linear,
  title={Linear program reconstruction in practice},
  author={Cohen, Aloni and Nissim, Kobbi},
  year={2018}
}",Aloni Cohen and Kobbi Nissim,Linear program reconstruction in practice.,Implemented linear reconstruction attacks against a production private query system called Diffix,Tabular,Linear-Queries,Reconstruction,Applications,,,"Jon Ullman, Northeastern University"
https://arxiv.org/abs/2405.10994,"@article{annamalai2024you,
  title={"" What do you want from theory alone?"" Experimenting with Tight Auditing of Differentially Private Synthetic Data Generation},
  author={Annamalai, Meenatchi Sundaram Muthu Selva and Ganev, Georgi and De Cristofaro, Emiliano},
  journal={USENIX Security},
  year={2024}
}","Meenatchi Sundaram Muthu Selva Annamalai, Georgi Ganev, Emiliano De Cristofaro","""What do you want from theory alone?"" Experimenting with Tight Auditing of Differentially Private Synthetic Data Generation","Audits six implementations of DP synthetic data generative models using different datasets and threat models and finds that commonly used black-box MIAs are severely limited in power, yielding remarkably loose empirical privacy estimates. Considers MIAs in stronger threat models, i.e., passive and active white-box, using both existing and newly proposed attacks.",Tabular,Generative-Model,Membership-Inference,Empirical,https://github.com/spalabucr/synth-audit,,"Georgi Ganev, UCL"
https://proceedings.neurips.cc/paper/2020/file/fc4ddc15f9f4b4b06ef7844d6bb53abf-Paper.pdf,"@article{jagielski2020auditing,
  title={Auditing differentially private machine learning: How private is private {SGD}?},
  author={Jagielski, Matthew and Ullman, Jonathan and Oprea, Alina},
  journal={Advances in Neural Information Processing Systems},
}","Matthew Jagielski, Jonathan Ullman, Alina Oprea","Auditing Differentially Private Machine Learning:
How Private is Private SGD?",Connects the success rate of a membership inferency adversary to a lower bound on the privacy loss of the underlying DP mechanism.,Image,Predictive-Model,Membership-Inference,Empirical,,,"Tudor Cebere, Inria"
https://www.pnas.org/doi/10.1073/pnas.2218605120,"@article{dick2023confidence,
  title={Confidence-ranked reconstruction of census microdata from published statistics},
  author={Dick, Travis and Dwork, Cynthia and Kearns, Michael and Liu, Terrance and Roth, Aaron and Vietri, Giuseppe and Wu, Zhiwei Steven},
  journal={Proceedings of the National Academy of Sciences},
  volume={120},
  number={8},
  pages={e2218605120},
  year={2023},
  publisher={National Acad Sciences}
}","Travis Dick, Cynthia Dwork, Michael Kearns, Terrance Liu, Aaron Roth, Giuseppe Vietri, and Zhiwei Steven Wu",Confidence-ranked reconstruction of census microdata frompublished statistics,Ranking rows in reconstructed microdata by how confident the adversary is that are in the true dataset.,Tabular,Linear-Queries,Membership-Inference,Empirical,,I didn't want to give it it's own row but linking a rebuttal paper which is interesting in that it is indicative of arguments people make against reconstruction attacks: https://arxiv.org/abs/2311.03171,"Audra McMillan, Apple"
https://dl.acm.org/doi/abs/10.1145/3548606.3560581,"@inproceedings{cretu2022querysnout,
  title={QuerySnout: Automating the discovery of attribute inference attacks against query-based systems},
  author={Cretu, Ana-Maria and Houssiau, Florimond and Cully, Antoine and de Montjoye, Yves-Alexandre},
  booktitle={Proceedings of the 2022 ACM SIGSAC Conference on Computer and Communications Security},
  pages={623--637},
  year={2022}
}","Ana-Maria Cretu, Florimond Houssiau, Antoine Cully, Yves-Alexandre de Montjoye",QuerySnout: Automating the Discovery of Attribute Inference Attacks against Query-Based Systems,A method to automatically discover attacks against interactive query systems,Tabular,Linear-Queries,Attribute-Inference,Empirical,,,"Ana-Maria Cretu, EPFL"
https://www.ndss-symposium.org/wp-content/uploads/2018/02/ndss2018_05B-5_Pyrgelis_paper.pdf,"@article{pyrgelis2017knock,
  title={Knock knock, who's there? Membership inference on aggregate location data},
  author={Pyrgelis, Apostolos and Troncoso, Carmela and De Cristofaro, Emiliano},
  journal={arXiv preprint arXiv:1708.06145},
  year={2017}
}","Apostolos Pyrgelis, Carmela Troncoso, Emiliano de Cristofaro","Knock Knock, Who's There? Membership Inference on Aggregate Location Data",Membership inference attacks against location aggregates,Tabular,Linear-Queries,Membership-Inference,Empirical,,,"Ana-Maria Cretu, EPFL Yves-Alexandre de Montjoye, Imperial College"
https://arxiv.org/abs/2301.10053,"@inproceedings{annamalai2023linear,
  title={A linear reconstruction approach for attribute inference attacks against synthetic data},
  author={Annamalai, Meenatchi Sundaram Muthu Selva and Gadotti, Andrea and Rocher, Luc},
  booktitle={Usenix Security},
  year={2024}
}","Meenatchi Sundaram Muthu Selva Annamalai, Andrea Gadotti, Luc Rocher",A linear reconstruction approach for attribute inference attacks against synthetic data,"Introduces a new attribute inference attack against synthetic data based on linear reconstruction methods for aggregate statistics, which target all records in the dataset, not only outliers.",Tabular,Generative-Model,Attribute inference,Empirical,https://github.com/synthetic-society/recon-synth,,"Georgi Ganev, UCL"
https://arxiv.org/pdf/2206.10469.pdf,"@article{carlini2022privacy,
  title={The privacy onion effect: Memorization is relative},
  author={Carlini, Nicholas and Jagielski, Matthew and Zhang, Chiyuan and Papernot, Nicolas and Terzis, Andreas and Tramer, Florian},
  journal={Advances in Neural Information Processing Systems},
  volume={35},
  pages={13263--13276},
  year={2022}
}",Carlini et al.,The Privacy Onion Effect: Memorization is Relative,Removing vulnerable records makes other records vulnerable,Tabular,Predictive-Model,Membership-Inference,Empirical,,,"Yves-Alexandre de Montjoye, Imperial College"
https://arxiv.org/abs/2112.03570,"@inproceedings{carlini2022membership,
  title={Membership inference attacks from first principles},
  author={Carlini, Nicholas and Chien, Steve and Nasr, Milad and Song, Shuang and Terzis, Andreas and Tramer, Florian},
  booktitle={2022 IEEE Symposium on Security and Privacy (SP)},
  pages={1897--1914},
  year={2022},
  organization={IEEE}
}",Carlini et al.,Membership Inference Attacks From First Principles,Takes a step back + new attack (LIRA),Tabular,Predictive-Model,Membership-Inference,Theoretical,,,"Yves-Alexandre de Montjoye, Imperial College"
